State,Party,State ID
Arizona,D,AZ
Florida,R,FL
Georgia,D,GA
Iowa,R,IA
Maine 2nd District,R,ME2
Michigan,D,MI
Minnesota,D,MN
Nebraska 2nd District,D,NE2
Nevada,D,NV
New Hampshire,D,NH
North Carolina,R,NC
Ohio,R,OH
Pennsylvania,D,PA
Texas,R,TX
Wisconsin,D,WI
Alabama,R,AL
Alaska,R,AK
Arkansas,R,AR
California,D,CA
Colorado,D,CO
Connecticut,D,CT
Delaware,D,DE
District of Columbia,D,DC
Hawaii,D,HI
Idaho,R,ID
Illinois,D,IL
Indiana,R,IN
Kansas,R,KS
Kentucky,R,KY
Louisiana,R,LA
Maine,D,ME
Maine 1st District,D,ME1
Maryland,D,MD
Massachusetts,D,MA
Mississippi,R,MS
Missouri,R,MO
Montana,R,MT
Nebraska,R,NE
Nebraska 1st District,R,NE1
Nebraska 3rd District,R,NE3
New Jersey,D,NJ
New Mexico,D,NM
New York,D,NY
North Dakota,R,ND
Oklahoma,R,OK
Oregon,D,OR
Rhode Island,D,RI
South Carolina,R,SC
South Dakota,R,SD
Tennessee,R,TN
Utah,R,UT
Vermont,D,VT
Virginia,D,VA
Washington,D,WA
West Virginia,R,WV
Wyoming,R,WY
