,User,Date Created,Tweet,state_id,state_name,city,coordinates
0,maidenisis,2022-07-28 19:17:42+00:00,"America's can-do spirit has helped expand rights &amp; freedoms for both men &amp; women.

The #TeamCoup-controlled Supreme Court doesn't trust women's choices.

The Team YOU majority does. #RegisterDemocrats—support #TeamYOU.

 #GMW4U #RoeVWade #Voterizer  https://t.co/9Frr2ZGOmC",NY,New York,New York,"40.6943, -73.9249, 10km"
1,ResistanceRev,2022-07-26 12:32:10+00:00,"💚🎶 NYC! Join us this Sunday 7/31 for a special evening of art and action to raise funds for @NYAAF, which supports #abortion patients in (and traveling TO) New York now that #RoeVWade has been overturned https://t.co/26xTgEW4ud",NY,New York,New York,"40.6943, -73.9249, 10km"
2,DekonteCass,2022-07-25 22:08:17+00:00,Yesterday was ONE MONTH from the final overturning of Roe v Wade! @ United States of America https://t.co/qdkgO7j9Dn,NY,New York,New York,"40.6943, -73.9249, 10km"
3,biztocnews,2022-07-24 15:07:02+00:00,"Antiabortion leaders weigh enforcing bans, civil cases, criminally charging women after Roe v Wade's end #roevwade #fintwit https://t.co/4scO2Ne1vX",NY,New York,New York,"40.6943, -73.9249, 10km"
4,SirSquinty,2022-07-22 04:51:17+00:00,"Phew, just in time! Something bad to Roe v. Wade might happen if they don't! https://t.co/YyQQhnqJj2",NY,New York,New York,"40.6943, -73.9249, 10km"
5,votejgr,2022-07-21 13:40:47+00:00,"When I say that pregnant people are going to die because of SCOTUS’ decision to overdue Roe v Wade, it is not hyperbole. 

We are in a national state of emergency.

Read this article ⬇️

https://t.co/In8kK7w7yp https://t.co/Ch0BIuTbxg",NY,New York,New York,"40.6943, -73.9249, 10km"
6,SLiiCK__,2022-07-21 01:58:58+00:00,Cause codifying marriage equality benefits the sour cream citizens more than codifying roe v. wade would 🤷🏾‍♂️ https://t.co/qCDDKInoLR,NY,New York,New York,"40.6943, -73.9249, 10km"
7,CMJulieWon,2022-07-15 00:17:04+00:00,"In response to the recent SCOTUS decision on Roe v. Wade, our historic women majority council has taken it a step further in our state to ensure women’s right to choose. (1/2) https://t.co/jFM65h4Bdy",NY,New York,New York,"40.6943, -73.9249, 10km"
8,smokeinpeaceUSA,2022-07-12 17:12:36+00:00,"GOP opened Pandora's box when they won the reversal of RoeVwade. 
#RoeVsWade",NY,New York,New York,"40.6943, -73.9249, 10km"
9,s_s00KIE,2022-07-12 10:18:53+00:00,#Reason13 Why Roe V Wade had to go.. https://t.co/aNH9Cj00zf,NY,New York,New York,"40.6943, -73.9249, 10km"
10,biztocnews,2022-07-08 12:29:04+00:00,What Family Therapists Think About Roe V. Wade Being Overturned #roevwadebeingoverturned #familyplanningexperts #familytherapists #plannedparenthood #fintwit https://t.co/QpELFGPAui,NY,New York,New York,"40.6943, -73.9249, 10km"
11,helenbholmes,2022-07-07 21:51:28+00:00,this girl came up to us at the pool with a credit card dispute and was like “i knew i could trust you guys bc roe v. wade” and then we asked her what’s her sun sign and she said “gatorade”,NY,New York,New York,"40.6943, -73.9249, 10km"
12,riseup4abortion,2022-07-07 06:46:52+00:00,"Public Cervix Announcement:
FUCK YOU

Pics from the NYC #JulyFarce march to #TimesSquare 

JULY 9 is the next National Day of Protests. Find or host one here
https://t.co/LiW7x24h1e

#RiseUp4AbortionRights
#RoeVWade #Green4Abortion https://t.co/LeW4QZgdH3",NY,New York,New York,"40.6943, -73.9249, 10km"
13,riseup4abortion,2022-07-06 16:53:06+00:00,"Venice Beach, CA

👀 ALL THE BEAUTIFUL PEOPLE
We need a lot more to join the protests! We all unite in green! Join the protests &amp; fight back to preserve our freedom &amp; human rights!  

Reposted from @akikoinla on IG
#RiseUp4AbortionRights #green4abortion #RoeVWade
#julyfarce https://t.co/CXib0tOMUR",NY,New York,New York,"40.6943, -73.9249, 10km"
14,billyburke87,2022-07-05 22:10:41+00:00,"Will &amp; Grace re-boot      Roe v. Wade 
                                    🤝
           Debra Messing was fed up.",NY,New York,New York,"40.6943, -73.9249, 10km"
15,biztocnews,2022-07-03 19:04:02+00:00,Alabama officials are using the overturning of Roe v. Wade to argue that the state should also be able to ban gender-affirming medical care #alabamaattorneygeneral #fintwit https://t.co/mfwkCV8AC7,NY,New York,New York,"40.6943, -73.9249, 10km"
16,biztocnews,2022-07-03 18:04:01+00:00,HHS Secretary Predicts Roe V. Wade Reversal Won’t ‘Stand Long’ #thebidenadministration #xavierbecerra #hhssecretary #fintwit https://t.co/wH5KJyJvFF,NY,New York,New York,"40.6943, -73.9249, 10km"
17,RoxieReads,2022-07-03 14:06:01+00:00,"Sigh… I’m so exhausted. 

Trans people merely existing is not a threat to anyone. And Roe v Wade affects us all. Stop this. https://t.co/40buuL0S9l",NY,New York,New York,"40.6943, -73.9249, 10km"
18,e_munson,2022-07-02 18:27:54+00:00,saw a tik tok about sororities responding to roe v wade being overturned and hey @AOESorority you’re being awfully quiet over there!!!!,NY,New York,New York,"40.6943, -73.9249, 10km"
